,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,Year,Regional code,Country
12,Everest Base Camp Trek with Chola and Renjo La Pass,"
$1,900     USD", 21 Days,Strenuous,5545 m,Hotel/Guesthouse,March - May & Sept - Nov,3/3/2022,Male,32,Government Sector,Yes,850000,6,0,No,No,1,2017,480,Barrane
13,Annapurna Base Camp Trek,"
$1,090     USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,12/3/2020,Non-Binary,31,Government Sector,Yes,1500000,6,0,Yes,Yes,1,2017,500,Bangladesh
14,Annapurna Base Camp Short Trek,"
$1,090     USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,3/17/2022,Male,31,Government Sector,Yes,400000,3,0,No,No,0,2017,510,Armenia
15,Instant Annapurna Base Camp Trek,"
$980     USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,8/21/2023,Male,34,Private Sector/Self Employed,Yes,700000,7,0,No,No,0,2017,520,Barbados
16,Annapurna Base Camp Heli Trek,"
$1,750     USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,10/7/2022,Male,28,Private Sector/Self Employed,Yes,1150000,4,1,No,No,0,2017,560,Belgium
17,Mardi Himal Trek,"
$850     USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,6/16/2022,Male,28,Private Sector/Self Employed,Yes,800000,7,0,No,No,1,2017,640,Bhutan
18,Mardi Himal Trekking,"
$850     USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,12/15/2021,Transgender,29,Private Sector/Self Employed,Yes,1050000,5,1,No,No,1,2017,680,Bolivia
19,Classic Annapurna Circuit Trek,"
$1,350     USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,2/22/2021,Female,34,Private Sector/Self Employed,Yes,1500000,2,0,Yes,Yes,1,2017,700,Bosnia Herzegovna
20,Annapurna Circuit Trek,"
$1,250     USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,5/6/2020,Transgender,28,Private Sector/Self Employed,Yes,1150000,6,0,Yes,No,0,2017,720,Botwana
21,Annapurna Circuit Short Trek,"
$1,250     USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,8/6/2020,Non-Binary,29,Private Sector/Self Employed,Yes,350000,3,0,No,No,1,2017,760,Brazil
22,Annapurna Luxury Trek,"
$1,450     USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,6/18/2021,Transgender,31,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0,2017,840,Belize
23,Annapurna Panorama Trek,"
$860     USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,8/1/2021,Male,28,Government Sector,Yes,600000,9,0,No,No,1,2017,900,Solomon
24,Annapurna Tilicho Lake Trek,"
$1,450     USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,6/12/2020,Male,31,Government Sector,Yes,1500000,7,0,Yes,Yes,0,2017,960,Brunei
25,Short Annapurna Trek,"
$590     USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,1/13/2022,Male,35,Private Sector/Self Employed,No,800000,4,0,No,Yes,0,2017,1000,Bulgaria
26,Manaslu Circuit Trek,"
$1,450     USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,4/1/2023,Male,34,Private Sector/Self Employed,No,1300000,6,0,Yes,No,1,2017,1040,Myanmar
27,Manaslu Circuit Trekking,"
$1,380     USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,10/6/2020,Transgender,28,Private Sector/Self Employed,Yes,1250000,2,0,Yes,No,0,2017,1080,Brush
28,Tsum Valley with Manaslu Trek,"
$1,850     USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,7/7/2023,Male,26,Private Sector/Self Employed,Yes,600000,4,0,Yes,No,0,2017,1120,Belarus
29,Upper Mustang Trek,"
$2,150     USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,10/14/2020,Male,31,Private Sector/Self Employed,Yes,900000,3,0,No,No,0,2017,1160,Cambodia
30,Upper Mustang Trek with Yara,"
$2,300     USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,7/23/2022,Transgender,30,Private Sector/Self Employed,No,550000,6,0,Yes,Yes,0,2017,1200,Cameroon
31,Upper Mustang Tiji Festival Trek,"
$2,150     USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,7/9/2022,Transgender,31,Government Sector,No,300000,4,0,No,No,0,2017,1240,Canada
32,Langtang Valley Trek,"
$750     USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,10/21/2021,Female,25,Government Sector,Yes,750000,4,0,No,No,1,2017,1320,Carbo verde
33,Langtang Gosaikunda Trek,"
$1,180     USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,4/11/2022,Male,32,Government Sector,Yes,850000,3,0,No,No,0,2017,1400,Central Africa
34,Tamang Heritage Trek,"
$920     USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,11/24/2022,Female,28,Private Sector/Self Employed,Yes,800000,9,0,No,No,1,2017,1440,Sri Lanka
35,Tamang Heritage Trail,"
$750     USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,3/3/2022,Non-Binary,33,Private Sector/Self Employed,Yes,1400000,4,0,Yes,Yes,0,2017,1480,Chad
36,Helambu Trek,"
$780     USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,1/24/2020,Male,31,Government Sector,No,300000,9,1,No,No,0,2017,1520,Chile
37,Annapurna Base Camp Trek  ," $1,499     USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/20/2020,Non-Binary,34,Private Sector/Self Employed,Yes,700000,4,0,No,No,0,2017,1560,China
38,Everest Base Camp Trek for Youths  ," $1,750     USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/27/2020,Female,34,Government Sector,Yes,1100000,2,0,No,No,0,2017,1580,Taiwan
39,Everest Base Camp Short Trek  ," $1,499     USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/8/2022,Female,33,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,1,2017,1700,Columbia
40,Everest Base Camp Trek  ," $1,499     USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/11/2020,Transgender,25,Private Sector/Self Employed,Yes,1400000,3,1,Yes,Yes,1,2017,1740,Komoro
41,Annapurna Circuit Trek  ," $1,499     USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/15/2020,Non-Binary,33,Private Sector/Self Employed,Yes,550000,5,0,No,No,0,2017,1780,Congo
42,Everest Base Camp Luxury Lodge Trek  ," $1,499     USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/19/2020,Male,26,Private Sector/Self Employed,Yes,1500000,2,1,Yes,Yes,1,2017,1800,Congo Democratic Republic
43,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499     USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/7/2022,Non-Binary,28,Private Sector/Self Employed,Yes,1200000,4,0,Yes,No,1,2017,1880,Costa Rica
44,Upper Mustang Trek  ," $1,499     USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/23/2022,Female,25,Private Sector/Self Employed,Yes,1400000,7,0,No,Yes,1,2017,1910,Croatia
45,Everest Advanced Base Camp Trek from Tibet  ," $1,499     USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/19/2021,Transgender,34,Private Sector/Self Employed,No,1400000,5,1,No,Yes,1,2017,1920,Cuba
46,Gokyo Lakes and Gokyo Ri Trek  ," $1,499     USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/23/2023,Female,25,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1,2017,1960,Cyprus
47,Mardi Himal Trek  ," $1,499     USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/3/2020,Female,35,Government Sector,Yes,1100000,5,0,No,No,0,2017,2030,Czech Republic
48,Manaslu Circuit Trek  ," $1,499     USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/26/2020,Transgender,28,Private Sector/Self Employed,Yes,600000,3,0,No,No,0,2017,2040,Benan
49,Langtang Valley Trek  ," $1,499     USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/10/2021,Female,31,Private Sector/Self Employed,Yes,1350000,3,0,No,Yes,1,2017,2080,Denmark
50,Annapurna Sanctuary Trek  ," $1,499     USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/24/2020,Male,31,Private Sector/Self Employed,Yes,1250000,3,1,No,No,0,2017,2120,Dominica
51,Rara Lake Trek  ," $1,499     USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/28/2022,Non-Binary,29,Private Sector/Self Employed,Yes,1050000,3,0,No,No,0,2017,2140,dominican republic
52,Everest High Passes Trek  ," $1,499     USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/8/2020,Female,31,Private Sector/Self Employed,Yes,1250000,4,0,No,Yes,0,2017,2180,Ecuador
53,Kanchenjunga Circuit Trek  ," $1,499     USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/15/2021,Non-Binary,28,Government Sector,Yes,300000,2,0,No,No,0,2017,2220,El Salvador
54,Everest View Trek  ," $1,499     USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/21/2021,Female,29,Private Sector/Self Employed,Yes,1200000,7,0,No,No,0,2017,2260,Equatorial guinea
55,Tsum Valley Trek  ," $1,499     USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/1/2021,Male,26,Private Sector/Self Employed,Yes,750000,5,0,No,No,0,2017,2310,Ethiopia
56,The Royal Trek  ," $1,499     USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/14/2022,Transgender,28,Private Sector/Self Employed,Yes,550000,3,0,No,No,1,2017,2320,Eritria
57,Makalu Base Camp Trek  ," $1,499     USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/20/2020,Non-Binary,34,Private Sector/Self Employed,Yes,1000000,6,0,No,No,1,2017,2330,Estonia
58,"Langtang, Gosainkunda and Helambu Trek  "," $1,499     USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/1/2021,Male,33,Private Sector/Self Employed,Yes,1400000,6,0,Yes,Yes,1,2017,2390,Georgia
59,Nar Phu Valley Trek  ," $1,499     USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/28/2023,Female,33,Private Sector/Self Employed,Yes,1400000,9,0,Yes,Yes,1,2017,2420,Fiji
60,Annapurna Circle Trek  ," $1,499     USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/11/2023,Male,31,Private Sector/Self Employed,Yes,1250000,4,0,Yes,Yes,0,2017,2460,Finland
61,Everest Kangshung Face Trek  ," $1,499     USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/11/2021,Transgender,32,Government Sector,Yes,800000,3,0,Yes,No,1,2017,2500,France
62,Tsum Valley and Manaslu Trek  ," $1,499     USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/4/2020,Male,28,Private Sector/Self Employed,Yes,800000,4,0,Yes,No,0,2017,2620,Jibuti
63,Khopra Ridge Community Trek  ," $1,499     USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/9/2023,Female,27,Government Sector,Yes,500000,2,0,No,No,0,2017,2660,Gabon
64,Nepal Experience Tour  ," $1,499     USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/23/2021,Female,30,Private Sector/Self Employed,No,1450000,9,0,Yes,Yes,1,2017,2700,Gambia
65,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499     USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/29/2021,Female,26,Private Sector/Self Employed,Yes,600000,5,1,No,No,0,2017,2750,Palestine
66,Annapurna With Tilicho Lake Trek  ," $1,499     USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/13/2021,Female,30,Private Sector/Self Employed,No,800000,6,0,Yes,No,0,2017,2760,Germany
67,Langtang Valley Trek with Ganja la Pass  ," $1,499     USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/27/2021,Male,34,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1,2017,2880,Ghana
68,Tamang Heritage Trek  ," $1,499     USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/10/2022,Female,29,Private Sector/Self Employed,Yes,350000,4,0,No,No,0,2017,2960,Kiribass
69,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499     USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/18/2021,Female,31,Government Sector,No,300000,4,0,No,No,0,2017,3000,Greece
70,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499     USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/2/2021,Non-Binary,34,Government Sector,Yes,1300000,4,0,No,No,0,2017,3080,Grenada
71,Nepal Hiking and Culture Tour  ," $1,499     USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/30/2021,Transgender,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,0,2017,3200,Guatemala
72,Annapurna Sunrise and Everest View Trek  ," $1,499     USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/16/2023,Non-Binary,28,Private Sector/Self Employed,Yes,800000,6,1,Yes,No,0,2017,3240,Guinea
73,Tenzing Hillary Everest Marathon  ," $1,499     USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/13/2022,Male,28,Private Sector/Self Employed,Yes,750000,7,0,Yes,No,0,2017,3280,Gaiana
74,Everest Base Camp Trek,$1450     USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/28/2023,Transgender,28,Private Sector/Self Employed,Yes,700000,4,1,No,No,0,2017,3320,Haiti
75,Everest Kalapathar Trekking,$1390     USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/16/2020,Non-Binary,34,Private Sector/Self Employed,Yes,1300000,5,0,No,No,0,2017,3400,Honduras
76,Everest Panorama Trek,$1040     USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/24/2023,Non-Binary,29,Private Sector/Self Employed,Yes,1200000,3,0,No,No,1,2017,3440,China (Hong Kong)
77,Everest Base Camp Trek via Gokyo Lake,$1530     USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/1/2022,Non-Binary,31,Government Sector,No,400000,4,0,No,No,0,2017,3441,Hong Kong DI
78,Gokyo Lake Trek,$1190     USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/9/2020,Female,31,Government Sector,Yes,1300000,3,0,No,Yes,1,2017,3442,Hong Kong SAR
79,Everest Base Camp Heli Trek,$3600     USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/4/2020,Female,31,Government Sector,No,400000,5,1,No,No,0,2017,3480,Hungary
80,Annapurna Circuit Trek,$1100     USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/13/2021,Female,26,Private Sector/Self Employed,Yes,1300000,4,1,No,No,0,2017,3520,Iceland
81,Annapurna Base Camp Trek,$1090     USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/25/2021,Female,25,Private Sector/Self Employed,No,1150000,8,0,No,No,0,2017,3560,India
82,Ghorepani Poon Hill Trek,$450     USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/8/2023,Transgender,28,Private Sector/Self Employed,Yes,1250000,4,1,No,No,0,2017,3600,Indonesia
83,Upper Mustang Trek,$2100     USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,9/3/2021,Male,34,Private Sector/Self Employed,No,950000,4,0,Yes,No,1,2017,3640,Iran
84,Mardi Himal Trek,$590     USD,9 Days,Easy-Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/9/2021,Female,32,Government Sector,Yes,350000,6,1,No,No,0,2017,3680,Iraq
85,Langtang Valley Trekking,$690     USD,11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/17/2023,Female,25,Private Sector/Self Employed,No,1700000,4,0,Yes,No,1,2017,3720,Ireland
86,Manaslu Circuit Trek,$1190     USD,17 Days,Moderate-Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/11/2023,Male,32,Government Sector,Yes,900000,4,0,No,No,0,2017,3760,Israel
87,Annapurna Base Camp Trek,"
$1,090    USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,7/29/2022,Transgender,28,Government Sector,Yes,300000,6,0,No,No,0,2017,3800,Italy
88,Annapurna Base Camp Short Trek,"
$1,090    USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,6/4/2023,Transgender,34,Private Sector/Self Employed,Yes,1050000,5,1,No,No,0,2017,3840,Court Jiboire
89,Instant Annapurna Base Camp Trek,"
$980    USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,11/22/2022,Male,28,Government Sector,Yes,300000,8,0,No,No,0,2017,3880,Jamaica
90,Annapurna Base Camp Heli Trek,"
$1,750    USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,8/7/2023,Transgender,27,Government Sector,Yes,1050000,3,0,No,No,0,2017,3980,Kazakhstan
91,Mardi Himal Trek,"
$850    USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,4/15/2022,Transgender,28,Government Sector,Yes,300000,4,1,No,No,0,2017,4000,Jordan
92,Mardi Himal Trekking,"
$850    USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,4/11/2022,Transgender,28,Private Sector/Self Employed,Yes,1150000,5,0,No,No,0,2017,4040,Kenya
93,Classic Annapurna Circuit Trek,"
$1,350    USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,9/26/2021,Non-Binary,33,Government Sector,Yes,700000,7,0,Yes,No,1,2017,4080,north korea
94,Annapurna Circuit Trek,"
$1,250    USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,1/8/2020,Male,34,Private Sector/Self Employed,Yes,1300000,4,0,No,No,0,2017,4100,South Korea
95,Annapurna Circuit Short Trek,"
$1,250    USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,12/23/2020,Female,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1,2017,4140,Kuwait
96,Annapurna Luxury Trek,"
$1,450    USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,8/20/2020,Male,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,0,2017,4170,Kyrgyzstan
97,Annapurna Panorama Trek,"
$860    USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,3/27/2022,Male,29,Private Sector/Self Employed,Yes,350000,7,0,No,No,0,2017,4180,Laos
98,Annapurna Tilicho Lake Trek,"
$1,450    USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,3/24/2022,Male,29,Private Sector/Self Employed,Yes,1100000,6,0,No,No,0,2017,4220,Lebanon
99,Short Annapurna Trek,"
$590    USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,7/15/2020,Female,29,Government Sector,Yes,600000,3,0,No,No,0,2017,4260,Lesot
100,Manaslu Circuit Trek,"
$1,450    USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,9/7/2021,Male,28,Private Sector/Self Employed,Yes,1300000,6,1,No,No,1,2017,4280,Latvia
101,Manaslu Circuit Trekking,"
$1,380    USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,8/18/2021,Non-Binary,33,Private Sector/Self Employed,Yes,1500000,3,1,Yes,Yes,1,2017,4300,Liberia
102,Tsum Valley with Manaslu Trek,"
$1,850    USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,6/10/2023,Male,29,Private Sector/Self Employed,Yes,500000,3,1,No,No,0,2017,4340,Libya
103,Upper Mustang Trek,"
$2,150    USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,4/19/2023,Non-Binary,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1,2017,4380,Liechtenstein
104,Upper Mustang Trek with Yara,"
$2,300    USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,2/29/2020,Female,28,Private Sector/Self Employed,Yes,1150000,3,0,No,No,0,2017,4400,Lithuania
105,Upper Mustang Tiji Festival Trek,"
$2,150    USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,2/20/2020,Non-Binary,28,Private Sector/Self Employed,Yes,750000,3,0,No,No,0,2017,4420,Luxembourg
106,Langtang Valley Trek,"
$750    USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,1/4/2022,Male,34,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0,2017,4460,Macau
107,Langtang Gosaikunda Trek,"
$1,180    USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,7/7/2021,Male,34,Private Sector/Self Employed,Yes,850000,3,1,No,Yes,0,2017,4461,Macau travel certificate
108,Tamang Heritage Trek,"
$920    USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,1/29/2023,Transgender,26,Private Sector/Self Employed,Yes,1300000,4,0,No,No,1,2017,4500,Madagascar
109,Tamang Heritage Trail,"
$750    USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,8/17/2020,Transgender,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,1,2017,4540,Malawi
110,Helambu Trek,"
$780    USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,6/10/2022,Male,31,Government Sector,Yes,400000,5,0,No,No,0,2017,4580,Malaysia
111,Annapurna Base Camp Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/9/2021,Female,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0,2017,4620,Maldives
